Time,wsteth,wbtc,sfrxeth,weth
17432225,2086583901104420344409,,1914040507668370027746,
17437586,2038114131594075180719,,1917546857609230980767,
17442947,2109235799328107220588,,1948373759986286903170,
17448308,1949078689746880046879,,1805274184707133384243,
17453669,1982254063684830204124,,1818476595250520845540,
17459030,2009485585332466722282,,1854665796366925135071,
17464391,1954798381447507073149,,1801581467367906360092,
17469753,1984000182131973892396,,1832328327888207175634,
17475114,1978284107943763350222,,1831946480597433861275,
17480475,1915725119308956820041,,1748348142870934042248,
17485836,1870843974541906422925,,1732362952512183051402,
17491197,1896325547015116340711,,1753562823423845402511,
17496558,1939297942456663581272,,1787254590672841001835,
17501920,1947730588576966402105,,1792020391738560683301,
17507281,1969901723221256937300,,1814714333885032403276,
17512642,1951499638600136039848,,1793052448072097801591,
17518003,1945236309919748553266,,1800381532514699831188,
17523364,2013490058498181108932,,1861299449821413507376,
17528725,2089586175511718390984,,1929233555587878222370,
17534087,2129307718846578887058,,2024765432688976183234,
17539448,2101925466921162792970,,1953576328469675504855,
17544809,2144906090725657696673,,2006846209644390707134,
17550170,2130957487109671969298,,1975110789824640906700,
17555531,2177412542348041260348,,2045755694847621385906,
17560892,2110178676216110447792,2.91483041704398e+22,1950305714552068692732,
17566254,2101033686602788538651,3.0300637181880467e+22,1941375781950373243736,1.8438811587794724e+21
17571615,2118350601845567203146,3.153905413657609e+22,1954191520334052102852,1.9134301222728756e+21
17576976,2096983461839366736984,3.0061110431078316e+22,1942710309276356533933,1.8644104789344327e+21
17582337,2071874753673379768379,3.0095198706571154e+22,1921732231074588523167,1.824274785569684e+21
17587698,2079818782996353438004,3.037504321846427e+22,1921048621479561495054,1.830493415041178e+21
17593059,2078109730910653095362,2.9976487472207432e+22,1921676273795478007985,1.8448893474950241e+21
17598421,2180522984321789316379,3.0398143262053838e+22,2049918941602682836741,1.9649398783960157e+21
17603782,2204971076876997878561,3.0601734923206527e+22,2051254857455504550214,1.9070772701490328e+21
17609143,2200701254494267518892,3.0814055950437614e+22,2007288892372434427365,1.9227595817990842e+21
17614504,2250177764211313712591,3.1624777728004966e+22,2119650697488086357675,1.9847597998155254e+21
17619865,2192610603280350363965,3.0918821082107486e+22,2025331822932684969973,1.9548083465148084e+21
17625226,2185429776722855229331,3.0782101737644975e+22,1985632947710921659845,1.9328413977536695e+21
17630587,2158644006327843451602,3.060823632941577e+22,1996088854075695411581,1.906637505716418e+21
17635949,2149362748117767995077,3.070074088033601e+22,1988481520877571549547,1.907474520293459e+21
17641310,2108110357020341832731,3.0078951246223087e+22,1947416856283682188954,1.8581690267344985e+21
17646671,2104155154563966076310,3.033649278475871e+22,1951011255093430748596,1.852424619694629e+21
17652032,2097655388317403096825,3.0119741367129488e+22,1948150539934202100406,1.8555920905414844e+21
17657393,2109703187229428406459,3.048364984980408e+22,1952393676632470102186,1.843319956897934e+21
17662754,2116042962374088516766,3.019360749576934e+22,1956767376324578891660,1.8580448545055894e+21
17668116,2123627522136177789982,3.0570349220683657e+22,1967129904965653983977,1.8690431420068772e+21
17673477,2129562325485392350904,3.069560107785528e+22,1976542117597322318982,1.8896998365473955e+21
17678838,2119318802565248245168,3.019503773090967e+22,1957082387045511026429,1.8731723527410082e+21
17684199,2144548642614472420037,3.085138647783905e+22,1982258315901751886816,1.8908153085815934e+21
17689560,2306052193034301816710,3.192578157454119e+22,2092633191585591708178,2.1310596204161377e+21
17694921,2197990466142945752667,3.0501503740949995e+22,2036340961809626053335,1.8928669568742552e+21
17700283,2181656838254440157965,3.0336750539205574e+22,2028309136375356743858,1.9113414589926193e+21
17705644,2195573995165365692018,3.042971506956429e+22,2022153950925554694929,1.9047500635885708e+21
17711005,2204580998384650546840,3.0490845141212437e+22,2034284616461814939578,1.9133352137984505e+21
17716366,2162770370087918760098,3.011417295772516e+22,2000047103282301122342,1.897678517578242e+21
17721727,2131644084021009449484,2.963327077583262e+22,1967653411476883421609,1.8215684383393742e+21
17727088,2159188336044144638642,2.998059743056021e+22,2000641529999801911186,1.898100913573706e+21
17732450,2174694537848203467008,3.0320063163613493e+22,2015222666350793261425,1.9194085957774627e+21
17737811,2152008716905050920839,2.981656910312422e+22,1994487722553727849873,1.840257115687061e+21
17743172,2150595078059498911194,2.995824025472621e+22,1997431904434684152466,1.8616381133495368e+21
17748533,2126105945277818232936,2.9931916539298876e+22,1978828933815542490400,1.84314524487707e+21
17753894,2138871506189121230766,3.0170985039434265e+22,1983157189125407317198,1.9023712742058476e+21
17759255,2134358125720459350878,2.9952730742339064e+22,1975503887999341572670,1.8452794001844373e+21
17764617,2077966463131282057701,2.896144281196e+22,1945305920158097089532,1.8403024810361267e+21
17769978,2113540411456800066807,2.9293071538132183e+22,1958774322781964209191,1.8618332945399318e+21
17775339,2095142558598469334800,2.9181444191585407e+22,1941495332795110518016,1.8620871743670056e+21
17780700,2110460510975621344078,2.9107892002482205e+22,1958829835601106889221,1.8624880198671411e+21
17786061,2107995431563568690795,2.9113120744072045e+22,1952259236083460905856,1.853534967210201e+21
17791422,2127555334509135944015,2.9198719556030342e+22,1972077803654966145887,1.8522383008579906e+21
17796783,2126642867396176225650,2.93701962439405e+22,1972715839258403998700,1.8798637395455904e+21
17802145,2140017019380621510663,2.94936999437008e+22,1981031520542976505257,1.8976249663279328e+21
17807506,2122964470339968540071,2.9384563685020152e+22,1972107332758267624838,1.8827892536810215e+21
17812867,2124078342127571219948,2.942563927401921e+22,1957675819965068911154,1.8754467358860126e+21
17818228,2069077334074776062374,2.8832271573008853e+22,1914812664979768481036,1.8257042740281997e+21
